Count,Field name - highlighted terms defined,Definitions for Assessment
41,NUMBER_HABITABLE_ROOMS,"Number of habitable rooms, includes any living room, sitting room, dining room, bedroom, study and similar and non-separated conservatories. Non-habitable rooms are ancillary rooms and include hallways, stairs & landings, kitchens, utility rooms, bathrooms, cloakrooms, large storage cupboards, WCs, en-suites and any habitable room not having access to natural daylight."
42,NUMBER_HEATED_ROOMS,"Number of heated habitable rooms. These are rooms with a fixed heat emitter present. This could be a hot water 
radiator or under floor heating on a heating circuit, a storage heater, a gas fire, a solid fuel 
burner, a fixed electric fire or a solid fuel fireplace"
43,LOW_ENERGY_LIGHTING,The proportion of fixed light fittings in the home that use low-energy bulbs (such as LEDs or compact fluorescents). Given as a percentage of all fixed lights. A value of 0% means none of the fixed lights use low-energy bulbs. Does not include portable lamps or external lights.
44,NUMBER_OPEN_FIREPLACES,"Number of open fireplaces in the property. Open fireplaces allow air to flow directly between the inside of the home and the outside — for example, through an open chimney or flue."
45,HOTWATER_DESCRIPTION,"Describes how the property heats its hot water such as a gas boiler, electric immersion heater, or solar system. "
46,HOT_WATER_ENERGY_EFF,"Rates how efficiently the hot water system uses energy. One of: very good, good, average, poor, or very poor."
47,HOT_WATER_ENV_EFF,How the hot water system contributes to carbon dioxide (CO2) emissions. Rated from very poor to very good.
48,FLOOR_DESCRIPTION,"Describes the construction of the property’s lowest exposed floor — for example, solid concrete or suspended timber. This usually refers to the ground floor in houses and ground-floor flats. If the floor is above another heated space (such as a mid-floor flat), no floor description is shown."
49,FLOOR_ENERGY_EFF,"How well the floor(s) retain heat, based on the construction of the floor. Rated from very poor to very good. 
"
50,FLOOR_ENV_EFF,"How the floor(s) contribute to carbon dioxide (CO2) emissions, based on the construction of the floor. Rated from very poor to very good. Floors rated very good retain more heat and so contribute less to carbon dioxide (CO2) emissions."
51,WINDOWS_DESCRIPTION,"Describes the windows in the property including whether they are single, double, or triple glazed. The description may also include features like special coatings or gas-filled spaces between panes that help reduce heat loss."
52,WINDOWS_ENERGY_EFF,How well windows retain heat. Rated from very poor to very good. 
53,WINDOWS_ENV_EFF,How the windows contribute to carbon dioxide (CO2)emissions. Rated from very poor to very good. Windows rated very good retain more heat and so contribute less to carbon dioxide (CO2) emissions.
54,WALLS_DESCRIPTION,"Describes the construction of the external walls. For example, solid brick, a cavity wall, or timber frame. Includes whether the walls are insulated, and whether the insultation was installed at the time of construction or added later."
55,WALLS_ENERGY_EFF,How well the walls retain heat. Rated from very poor to very good. 
56,WALLS_ENV_EFF,"How the walls contribute to carbon dioxide (CO2) emissions, based on the construction of the walls. Rated from very poor to very good. Walls rated very good retain more heat and so contribute less to carbon dioxide (CO2) emissions."
57,SECONDHEAT_DESCRIPTION,"Describes the type of secondary heating system in the property, such as a gas fire or electric room heater. A secondary heating system is an additional or backup heat source, often used to heat specific rooms or areas. It is assessed separately from the main heating system."
58,SHEATING_ENERGY_EFF,"The energy efficiency of the secondary heating system, based on how much energy it uses to provide heat. Rated from very poor to very good. "
59,SHEATING_ENV_EFF,How the secondary heating system contributes to carbon dioxide (CO2) emissions. Rated from very poor to very good.
60,ROOF_DESCRIPTION,"Describes the construction of the roof. For example, pitched with tiles, flat with felt, or thatched. Includes any roof-level insulation observed or assumed in the assessment. "
61,ROOF_ENERGY_EFF,How well the roof retains heat. Rated from very poor to very good.   
62,ROOF_ENV_EFF,"How the roof contributes to estimated carbon dioxide (CO2) emissions, based on the roof's construction. Rated from very poor to very good. Roofs rated very good retain more heat and so contribute less to carbon dioxide (CO2) emissions."
63,MAINHEAT_DESCRIPTION,"Describes the property's main heating system such as a gas boiler with radiators, electric storage heaters, or a heat pump. If the home has more than one main system, both are included. "
64,MAINHEAT_ENERGY_EFF,The energy efficiency rating of the main heating system. Rated from very poor to very good. Systems rated very good use less energy to produce the same amount of heat. 
65,MAINHEAT_ENV_EFF,How the main heating system contributes to estimated carbon dioxide (CO2) emissions. Rated from very poor to very good.
66,MAINHEATCONT_DESCRIPTION,"Describes the type of control(s) used for the main heating system(s) — for example, programmer, room thermostat, or smart control. If the property has two main heating systems, both are included."
67,MAINHEATC_ENERGY_EFF,"The energy efficiency of the main heating system. Rated from very poor to very good. Determined by the assessor (for example the type and  model of boiler from a national database). If the main heating system cannot be identified, a default value is used."
68,MAINHEATC_ENV_EFF,"How the main heating controls contribute to carbon dioxide (CO2) emissions, based on how the controls can reduce energy use. Rated from very poor to very good."
69,LIGHTING_DESCRIPTION,"Describes the type of fixed lighting in the property, based on the number and type of light fittings. The assessment includes only fixed lights (not plug-in lamps), and focuses on whether they use low-energy bulbs such as LEDs or compact fluorescents."
70,LIGHTING_ENERGY_EFF,"Shows how efficiently the property’s fixed lighting uses energy, based on the number of low-energy fittings. Rated from very poor to very good. "
71,LIGHTING_ENV_EFF,"How the fixed lighting contributes to estimated carbon dioxide (CO2) emissions, based on carbon emissions from electricity use. Rated from very poor to very good."
72,MAIN_FUEL,"Describes the fuel used to power the property’s main heating system — for example, mains gas, electricity, heating oil, or solid fuels (such as wood). "
73,WIND_TURBINE_COUNT,The number of wind turbines on the property. 
74,HEAT_LOSS_CORRIDOR,"An internal common corridor leading to a flat or maisonette only. Either no corridor, heated corridor or unheated. "
75,UNHEATED_CORRIDOR_LENGTH,"For flats and maisonettes only. Shows the length of wall in metres between the flat or maisonette and an unheated corridor. Only applies to properties with an unheated corridor. More wall length exposed to the corridor increases heat loss, raising energy demand and potentially lowering the EPC score."
76,FLOOR_HEIGHT,The average height of the storey in metres. Measured from finished floor level to the ceiling for each storey of the property. 
77,PHOTO_SUPPLY,Whether the property generates electricity from solar panels. The proportion of the roof area (%) covered by solar panels is assessed. 0% means that the property does not have solar panels.
78,SOLAR_WATER_HEATING_FLAG,Whether the property uses solar panels to help heat its water. Either a yes or no.
79,MECHANICAL_VENTILATION,"Describes the type of mechanical ventilation in the property, such as an extractor fan, positive input ventilation, or mechanical ventilation with heat recovery. "
80,ADDRESS,"Provides the address of the property, combining up to three address lines (address1, address2, and address3). The postcode is recorded separately and not included here."
81,LOCAL_AUTHORITY_LABEL,"The name of the local authority area where the property is located. This is for general information only. For reliable identification and analysis, use the Local Authority ONS code."
82,CONSTITUENCY_LABEL,"The name of the UK parliamentary constituency where the property is located. This is for general information only. For reliable identification and analysis, use the Constituency ONS code."
83,POSTTOWN,The post town of the property based on the Royal Mail address database. Used for mail delivery and address matching. May differ from local authority or constituency boundaries.
84,CONSTRUCTION_AGE_BAND,"Describes the period when the building (or each part of it) was originally constructed. If the property has been extended, different age bands may apply to different parts"
85,LODGEMENT_DATETIME,The date and time the EPC was officially lodged on the Energy Performance of Buildings Register. This timestamp determines when the certificate becomes valid. 
86,TENURE,Describes the tenure type of the property. One of: owner-occupied; rented (social); rented (private). This field is used in statistical analysis and policy research but does not affect the EPC calculation.
87,FIXED_LIGHTING_OUTLETS_COUNT,The number of fixed light fittings (for example ceiling or wall mounted) in the property using incandescent or halogen bulbs.  
88,LOW_ENERGY_FIXED_LIGHT_COUNT,The number of fixed light fittings (for example ceiling or wall mounted) in the property using low energy bulbs. 
89,UPRN,"The Unique Property Reference Number is a 12-digit code that identifies the property, flat, building, or plot of land being assessed."
90,UPRN_SOURCE,"The method of which the Unique Property Reference Number (UPRN) was added to the record. It will either say “Energy Assessor” if it was entered during the assessment, or “Address Matched” if it was added later using the government’s address-matching system. In some cases, this field may be blank or contain legacy values where UPRNs were not available or matched at the time."
91,REPORT_TYPE,"Describes the type of energy assessment used to produce the report. Either Reduced Standard Assessment Procedure (RdSAP), used for existing homes; or Standard Assessment Procedure (SAP), used for new homes or conversions. This field helps distinguish between assessments for new builds and those for existing buildings."
